"","","","","","","","Europe ","","","","","","",
"","All ","","","Northwestern ","Europe ","","","Central Europe ","","Eastern ","Europe ","Southern ","Europe ",
"Year ","countries ","Total ","Great Britain ","Ireland ","Scandi- navia ","Other North- western 4 ","iermany ","Poland ","Other entral ","U.S.S.R. and Baltic. States ","Other Eastern ","Italy ","Other Southern ",
"","89 ","90 ","91 ","92 ","93 ","94 ","95 ","96 ","97 ","98 ","99 ","100 ","101 ",
"1890 1889 ","455,302 444,427 ","445,680 434,790 ","69.730 87,992 ","53,024 65,557 ","50,368 57,604 ","20,575 22.010 ","92,427 99,538 ","11 073 4922 ","56,199 34,174 ","35 598 33'916 ","723 1,145 ","52,003 25.307 ","3,960 2,725 ",
"1888 1887 ","546,889 490,109 ","538'131 489:829 ","108'6S2 931378 ","73,513 68.370 ","81'924 676.29 ","23.251 17.307 ","109.717 106,865 ","5,826 6.128 ","46,811 40,265 ","33'487 30,766 ","1.898 2,251 ","51.558 47,622 ","2,959 2,248 ",
"1888 ","8$4,203 ","829,529 ","62.929 ","49,619 ","46,785 ","11,737 ","84,403 ","3,939 ","28,680 ","17,800 ","670 ","21.315 ","1,702 ",
"1885 ","395.346 ","353,083 ","57.713 ","51,795 ","40.704 ","13,732 ","124,443 ","3,085 ","27.309 ","17,158 ","941 ","13,642 ","2.561 ",
"1884 ","518,592 ","453,686 ","65,950 ","63,344 ","52.728 71,994 ","18,768 24,271 ","179,676 194,786 ","4.586 2,011 ","36.571 27,625 ","12.689 9,909 ","388 163 ","16,510 31,792 ","2,526 1,944 ",
"1883 1882 ","603,322 788,992 ","522,587 64B1Be ","76,606 102,991 ","81,486 76,432 ","105.826 ","27.796 ","250.630 ","4,672 ","39,150 ","16,918 ","134 ","32.159 ","1.978 ",
"1881 ","669,431 ","528,545 ","81,376 ","72,342 ","81,582 ","26,883 ","210,486 ","5,614 ","27,935 ","5,041 ","102 ","15,401 ","1,784 ",
"1880 ","457,257 ","348.691 ","73.273 ","71,603 ","65,657 ","16 042 ","84 638 ","2,177 ","17 267 ","5,014 ","35 ","12.354 ","1631 ",
"1879 ","177,826 ","134,259 ","29'956 ","20,013 ","21,820 12'254 ","9'081 6'929 ","34'602 29'313 ","489 547 ","5'963 5,150 ","4,453 3,048 ","29 29 ","5,79 4,344 ","2'063 1,916 ",
"1878 1877 ","188,489 141.857 ","101,612 106,195 ","223150 23 531 ","15.932 14.569 ","11:274 ","$,621 ","29,298 ","533 ","5,398 ","6,599 ","32 ","8,195 ","3,097 ",
"1876 ","169,986 ","120,920 ","293291 ","19)575 ","12,328 ","10,923 ","31,937 ","925 ","6,276 ","4.775 ","38 ","3,015 ","1,842 ",
"1875 ","227.498 ","182.961 ","47.905 ","37,957 ","14.322 ","11.987 ","47.769 ","984 ","7,658 ","7.997 ","27 ","3,631 ","2,724 ",
"1874 1873 ","313,339 459.803 ","262 783 397'541 ","62,021 89.500 ","53,707 77.344 ","19.178 35,481 ","15.993 22.892 ","87,291 149'671 ","1,795 8,838 ","8,850 7,112 ","4.073 1,634 ","62 53 ","7,666 8' 757 ","2,142 1,759 ",
"1872 ","404,806 ","3523155 ","84,912 ","68,732 ","28.575 ","15,624 ","141'109 ","1,647 ","4,410 ","1.018 ","20 ","4,190 ","1.928 ",
"1871 ","321,350 ","265,145 ","85,455 ","57,439 ","22,132 ","7.174 ","82,554 ","535 ","4,887 ","673 ","23 ","2,816 ","1,457 ",
"1870 ","387,203 ","328,626 ","103 677 ","56,996 ","30 742 ","9,152 ","118.225 ","223 ","4,425 ","907 ","6 ","2.891 ","1.382 ",
