"","Year ","Total ","Turkey in Asia 11 ","China 12 ","India ","Japan ","Korea 14 ","hilippines ","Other Asia ","Total ","Canada and New- foundland ","Mexico ","West Indies ","Other America ",
"","","102 ","103 ","104 ","105 ","106 ","107 ","108 ","109 ","110 ","111 ","112 ","113 ","114 ",
"1970 1969 1968 ","","90,215 72.959 56.298 ","495 556 325 ","6,427 5.264 4,851 ","8,795 5,206 4,165 ","4 731 4095 3.810 ","8,888 5,854 3.592 ","30.507 20,263 16.086 ","80,872 31,722 28.469 ","161 727 164'045 262'736 ","26 850 29'303 41716 ","44 821 45'748 44'716 ","56,614 53.190 140'827 ","",
"1967 1966 ","","57.574 40,113 ","491 365 ","7.118 2,948 ","4,129 2,293 ","4,125 3,468 ","3.845 2,414 ","10.386 5,894 ","27.530 22,731 ","170,235 162,55:. ","34:763 37,273 ","43034 47,217 ","61'987 37,999 ","",
"1965 ","","20 040 ","365 ","1611 ","467 ","3 294 ","2,189 ","2,963 ","9,201 ","171,01) ","50 035 ","40 686 ","31141 ","49 157 ",
"1964 ","","21:279 ","331 307 ","2'684 ","488 ","3'774 ","2,329 ","2,862 ","8.811 ","158,644 ","51/114 ","34'448 ","24067 ","49'015 ",
"1968 1962 1961 ","","23,242 20.249 19,495 ","304 296 ","1,605 1.366 900 ","965 390 292 ","41147 4.054 4.490 ","2,560 1.468 1,442 ","3,483 $.354 2,628 ","10.175 9,828 9,447 ","169' 963 155,871 139,58) ","50.509 44,272 47,470 ","55:986 56,805 41,476 ","22951 20,917 20,520 ","40'520 34;877 30,114 ",
"1960 ","","21,604 ","200 ","1 380 ","244 ","5,699 ","1,410 ","2,791 ","9,880 ","119,52; ","46 668 ","32 708 ","13, 636 ","26 513 ",
"1969 ","","25.259 ","229 197 ","1'702 ","351 ","6,248 ","1,614 ","2,503 ","12.612 ","93.061 ","34'599 ","22:909 ","12.109 ","28'444 ",
"1958 1967 ","","20.870 20,008 ","77 ","1'143 2'098 ","323 196 ","6,847 6,829 ","1.470 677 ","2,034 1,874 ","8'856 8357 ","113,132 ","45'143 ","26,791 ","16'983 18,362 ","24215 20:123 ",
"1956 ","","17,327 ","48 ","1886 ","185 ","5,967 ","579 ","1,792 ","7,870 ","184,766 ","48)868 ","49,321 61,320 ","19,512 ","21,618 ",
"1955 ","","10,935 ","54 ","568 ","194 ","4,150 ","263 ","1,598 ","4,108 ","110 436 ","32.435 ","43,702 ","12 876 ","21423 ",
"1964 1953 ","","9,970 8,231 ","33 13 ","254 528 ","144 104 ","3,846 2,579 ","175 75 ","1.284 1.074 ","4284 3'858 ","96'587 77'650 ","34 873 36'283 ","30,646 17.183 ","8;411 ","21'658 15'556 ",
"1952 ","","9,828 ","12 ","263 ","123 ","8,814 ","47 ","1,179 ","3'890 ","","","9079 ","8,628 6,672 ","11944 ",
"1951 ","","7,149 ","3 ","335 ","109 ","271 ","21 ","3,228 ","$,182 ","41.649 ","98,880 ","6,158 ","5,902 ","9,696 ",
"1950 ","","4,508 ","13 ","1280 ","121 ","100 ","24 ","729 ","2,241 ","44 191 ","21 885 ","6 744 ","6 206 ","9.356 ",
"1949 1948 ","","7.595 11,907 ","40 16 ","8'415 7,203 ","175 263 ","529 423 ","99 44 ","1,157 1,168 ","2,240 2,790 ","49(334 62,746 ","25)156 25,485 ","8,083 3,384 ","6,733 6,932 ","9,862 11946 ",
"1947 ","","6.733 ","22 ","3,191 ","432 ","131 ","","910 ","2,041 ","52,753 ","24,342 ","7,558 ","6,728 ","14,125 ",
"1946 ","","2,108 ","16 ","252 ","425 ","14 ","","475 ","926 ","46,066 ","91344 ","7,146 ","6,878 ","11,698 ",
"1945 ","","461 ","13 ","71 ","103 ","1 ","","19 ","254 ","29,646 ","11, 530 ","6 702 ","5,452 ","5.962 ",
"1944 1948 ","","231 ","15 36 ","50 65 ","41 ","","","4 8 ","117 142 ","23,084 ","10,143 ","6'598 ","3,198 ","3'145 ",
"1942 1941 ","","342 615 1,971 ","31 16 ","179 1,003 ","71 36 94 ","20 44 289 ","","51 170 ","274 899 ","18,162 16,377 22,445 ","9,761 10.599 11473 ","4'172 2378 2,324 ","2'312 11599 4,687 ","1'917 1(801 3,461 ",
"1940 ","","2,050 ","7 ","643 ","52 ","102 ","","137 ","1.109 ","17, 822 ","11,078 ","2 313 ","2,675 ","1756 ",
"1939 1938 1937 ","","2281 2:492 1,149 ","15 11 13 ","642 613 293 ","36 34 47 ","102 93 132 ","","119 116 84 ","1,287 1.625 580 ","17,139 20.486 16,908 ","10'813 14'404 12:011 ","2'640 2'502 2347 ","2,231 2,110 1,822 ","1'455 1:470 1,223 ",
"1936 ","","793 ","20 ","278 ","13 ","91 ","","72 ","824 ","11,786 ","8,121 ","1,716 ","985 ","964 ",
"1935 ","","682 ","31 ","229 ","32 ","88 ","","(16) ","302 ","11 174 ","7,782 ","1560 ","931 ","901 ",
"1984 1938 ","","597 552 ","22 27 ","187 148 ","28 44 ","86 15 ","","","274 2SB ","11:409 9,925 ","7,945 6,187 ","1,801 1.936 ","861 862 ","802 940 ",
"1932 ","","1,931 ","43 ","750 ","87 ","526 ","","","525 ","12.577 ","8,002 ","2,171 ","1,029 ","1874 ",
"1981 ","","3,345 ","139 ","1,150 ","123 ","653 ","","","1,280 ","30,816 ","22)182 ","3,333 ","2,496 ","2,804 ",
"1980 ","","4 535 ","118 ","1589 ","110 ","831 ","","","1,881 ","88,104 ","66,264 ","12 703 ","5 225 ","4 922 ",
"1929 1928 1927 ","","3'758 3'380 3)669 ","70 80 73 ","1'446 1'320 1,471 ","102 102 102 ","771 55d 723 ","","","1,368 1,328 1,300 ","116,177 144,281 161,872 ","66.451 75,28. 84,58( ","40;154 59,016 67.721 ","4306 4,058 4,019 ","5'266 5(926 5,562 ",
"1926 ","","8,413 ","37 ","1,781 ","98 ","654 ","","","878 ","144,393 ","93,361 ","43,316 ","3,222 ","4,487 ",
"1925 ","","3.578 ","51 ","1937 ","65 ","728 ","","","802 ","141 496 ","L02.75: ","32.964 ","2,106 ","3,673 ",
"1924 1928 ","","22 065 13'705 ","2 820 2,183 ","6'992 4'986 ","18 26 ","8,801 5,809 ","","","3,269 470 ","318'855 199:972 ","200,69 117,01 ","89.886 63,76% ","17.65E 18,181 ","11,270 6012 ",
"1922 1921 ","","14,263 26,034 ","1,998 11,735 ","4,406 4,001 ","86( 51 ","6.716 7,878 ","","","788 901 ","77,448 124,118 ","46,81 72,31 ","19,551 80,758 ","7,445 18,77 ","3,638 7,269 ",
"1920 ","","17 505 ","5,038 ","2,33( ","300 ","9,492 ","","","410 ","162 666 ","90,025 ","52.36 ","13,80 ","6 472 ",
"1919 1918 ","","12'674 12'701 ","1) 48 ","1,98 1.791 ","171 130 ","10,064 10.218 ","","","456 520 ","102,286 85,418 ","57.782 32.452 ","29.81 18' 52 ","8 82 8:87 ","5,860 6,568 ",
"1917 ","","12;756 ","393 ","2.23 ","109 ","8.991 ","","","1,026 ","147,779 ","106.399 ","17.86 ","15.50 ","9,004 ",
"1916 ","","13,204 ","1,670 ","2,46 ","112 ","8,680 ","","","282 ","137,424 ","101,551 ","18,42 ","12,02 ","5,421 ",
"1915 ","","15 211 ","3,548 ","2.66 ","161 ","8,613 ","","","234 ","ill,206 ","82.215 ","12,34 ","11.59 ","5 053 ",
"1914 1913 ","","34'273 35'358 ","21,716 28,955 ","2,50: 2.10 ","221 179 ","8,929 8,281 ","","","905 838 ","122,695 103,907 ","86.139 73,802 ","14'61 11'92 ","14,4 12.48 ","7(491 5,721 ",
"1912 1911 ","","21'449 17,428 ","12.788 10,229 ","1.76 1,461 ","175 524 ","6.114 4,520 ","","","607 695 ","95,926 94,364 ","55.990 56,830 ","23.28 19,88 ","12,4E 13,C ","4.231 4,242 ",
"1910 ","","23 533 ","16,212 ","1,96 ","1,696 ","2,720 ","","","1,937 ","89 534 ","56 555 ","18.65 ","11,24 ","3044 ",
"1909 1908 ","","12'904 28:365 ","7'606 9,753 ","1,94 1,39 ","203 1,040 ","8,111 15,808 ","","","141 372 ","82'208 59:997 ","51'941 38'510 ","16.28 6,06 ","11,18 11,88 ","2'836 3'532 ",
"1907 ","","40,524 ","8.058 ","96 ","898 ","80,226 ","","","386 ","41.762 ","19:918 ","1.4( ","16.68 ","3.749 ",
"1906 ","","22,300 ","6,354 ","1,64 ","216 ","13,835 ","","","351 ","24.613 ","5,068 ","1,99 ","13,6{ ","3,897 ",
"1905 1904 ","","23,925 26.186 ","6,167 5,285 ","2 16 4130 ","190 261 ","10,331 14,264 ","","","5,081 2,117 ","25,217 16.420 ","2,168 2.837 ","268 1:0c ","16 64 10'15 ","3 771 2,381 ",
"1908 1902 ","","29.966 22,271 ","7.118 6,223 ","2.20 1.64 ","94 93 ","19,968 14,270 ","","","577 86 ","11023 6,698 ","1,068 636 ","52 70 ","8'11 4171 ","1267 642 ",
"1901 ","","13,593 ","5,782 ","2,40 ","22 ","5,269 ","","","61 ","4,416 ","540 ","34 ","817 ","353 ",
"1900 ","","17 946 ","3,962 ","1,24 ","9 ","12.685 ","","","93 ","5,455 ","396 ","23 ","4,65 2.58 ","166 ",
"1899 1898 ","","8'972 8'631 ","4,486 4'275 ","1,66 2'07 ","17 ","2,844 2,230 ","","","15 61 ","4 316 2'627 ","1,322 352 ","16 10 ","2'12 ","248 44 ",
"1897 ","","9'662 ","4,732 ","3,36 ","- ","1,526 ","","","41 ","4)537 ","291 ","9 ","4.10 ","54 ",
"1896 ","","6,764 ","4139 ","1,44 ","- ","1,110 ","","","74 ","7,303 ","278 ","15 ","8,82 ","47 ",
"1895 ","","4,493 ","2,767 ","53 ","","1,150 ","","","39 ","3,508 ","244 ","11 ","3.09 3.17 ","52 71 ",
"1894 1898 ","","4.60 2,892 ","- - ","1,17 47 ","- ","1.931 1,880 ","","","1,589 540 ","8.551 (1593 ","194 (17) ","10 (14) ","2.59 ","",
"1892 ","","","","","","","","","","3(082 ","(ur) ","(18) ","(1f) ","(If) ",
"1891 ","","7.678 ","2,488 ","2,88 ","42 ","1.186 ","","","1,176 ","","234 ","(16) ","3,90 ","942 ",
