"","","","Australasia ","","AIl ","","","","","Australasia ","","oAllr ",
"Year ","Africa, total ","Total ","Australia and New Zealand ","Other Pacific Islands ","other countries ","","Year ","Africa total ","Total ","Australia and New Zealand ","Other Pacific Islands ","countries ",
"","115 ","116 ","117 ","118 ","119 ","","","115 ","116 ","117 ","118 ","119 ",
"1970 ","7,099 ","3,632 ","2,693 ","939 ","","1895 ","","36 ","155 ","155 ","","",
"1969 1968 1967 ","4.460 3,220 2.577 ","3,06: 3,17 2,81 ","2,278 2,374 2.128 ","788 798 683 ","2 ","1894 1893 1892 ","","24 (17) (17) ","244 248 267 ","244 248 267 ","Iin (17 ","70 5.173 8,520 ",
"1966 ","1,967 ","2,50( ","1,894 ","606 ","11 ","1891 ","","108 ","1,301 ","777 ","524 ","7n ",
"1965 ","1.949 ","2.199 ","1.803 ","396 ","22 ","1890 ","","112 ","1,167 ","699 ","468 ","62 ",
"1964 1963 ","2,015 1.982 ","2.07( 1.97: ","1,767 1,642 ","303 335 ","25 27 ","1889 1888 ","","187 65 ","2.196 2.387 ","1,000 697 ","1,196 1,690 ","70 61 ",
"1962 ","1,834 ","1.815 ","1,427 ","392 ","1 ","1887 ","","40 ","1,282 ","528 ","754 ","73 ",
"1961 ","1,851 ","1.881 ","1,556 ","325 ","5 ","1886 ","","122 ","1,136 ","522 ","614 ","73 ",
"1960 ","1,925 ","2,14( ","1.892 ","248 ","26 ","1885 ","","112 ","679 ","449 ","230 ","71 ",
"1959 1968 ","1.992 2,008 ","2,162 2,041 ","1,878 1.783 ","284 262 ","21 12 ","1884 1883 ","","59 67 ","900 747 ","502 554 ","398 193 ","98 79 ",
"1957 ","1,600 ","1,45E ","1,228 ","230 ","16 ","1882 ","","60 ","889 ","878 ","11 ","99 ",
"1956 ","1,351 ","1,346 ","1,171 ","175 ","22 ","1881 ","","33 ","1.191 ","1,188 ","3 ","103 ",
"1955 ","1.203 ","1,028 ","932 ","96 ","3,597 ","1880 ","","18 ","964 ","953 ","1 ","63 ",
"1954 1953 ","1,248 989 ","910 782 ","840 742 ","65 40 ","8,341 430 ","1879 1878 ","","12 18 ","816 606 ","813 606 ","3 ","36 15 ",
"1952 ","931 ","57E ","545 ","33 ","8 ","1877 ","","16 ","914 ","912 ","2 ","27 ",
"1951 ","845 ","527 ","490 ","37 ","20 ","1876 ","","89 ","1,312 ","1,205 ","107 ","36 ",
"1950 ","849 ","517 ","460 ","57 ","","1875 ","","54 ","1,268 ","1.104 ","164 ","76 ",
"1949 1948 ","995 1,027 ","776 1.336 ","661 1.218 ","115 118 ","25 10 ","1874 1878 ","","58 28 ","1,193 1.414 ","960 1,135 ","233 279 ","128 160 ",
"1947 ","1,284 ","2,960 ","2,821 ","139 ","27 ","1872 ","","41 ","2,416 ","2,180 ","236 ","164 ",
"1946 ","1,316 ","6,106 ","6,009 ","97 ","73 ","1871 ","","24 ","21 ","18 ","3 ","85 ",
"1945 ","406 ","1,663 ","1,625 ","38 ","","1870 ","","31 ","86 ","36 ","","27 ",
